Name,Number,Price,Info,Store,URL
,,,,,
# BEER & CIDERS,,,,,
,,,,,
A-FRAME Brewing Co,,,,,https://www.Aframebrewing.com
Okanagan Lake Cream Ale,95800,$2.99,per 473ml,,
Cup Lake Lemon Earl Grey Sour,480786,$3.79,per 473ml,,
Sproat Lake Hazy Pale Ale,95805,$3.20,per 473ml,YES,
Skull Lake Imperial Stout,147460,$8.70,per 650ml,YES,
,,,,,
Bowen Cider House Ltd.,,,,,https://bowenciderhouse.ca
Snug Cove Strubarb 750mL Bottle,238700,$22.00,,YES,
Roger Curtis Raspberry 473mL Can,704052,$7.00,,,
Ugly Apples Gala 473mL Can,262244,$6.25,,,
Barrel Aged 750mL Bottle,238703,$23.00,,YES,
Seymour Bay Scrumpy 750mL Bottle,394516,$20.00,,,
,,,,,
Coast Mountain Brewing,,,,,https://www.coastmountainbrewing.com
Hope You're Happy,145725,$15.70,,YES,
Cervezarita Margarita Style,658693,$17.23,,YES,
Queen of Hops - Hoppy Lager,724042,$17.23,,,
,,,,,
Geo Cider Ltd,,,,,https://WWW.GEOCIDER.COM
Blood Orange,83136,$15.50,,,
Old World Apple,83119,$15.50,,,
Pear,41588,$15.50,,,
Blood Orange NA,853587000976,$12.50,Non-alcoholic ,,
Rosé NA,85387000983,$12.50,Non-alcoholic ,,
,,,,,
Howe Sound Brewing,,,,,https://howesound.com
Hazy Daze IPA,245702,$12.63,,,
Squamish Valley Pale Ale,650844,$12.40,,,
Der Varmer-Drier Helles Lager,659306,$12.50,,,
,,,,,
Millionaires' Row Cider,,,,,https://Millionariesrowcider.com
High n Dry,68448,$10.00,,YES,
Makin a Mint,68466,$10.00,,YES,
Research Raspberry,287303,$10.00,,,
,,,,,
The Parkside Brewery / Rewind Beer Co. / Slackwater Brewing,,,,,https://www.theparksidebrewery.com
Parkside Motel Hazy Pale Ale,131072,$14.64,4 pk,,
Rewind Laser Lite Lager,273964,$25.29,15 pk,,
Rewind BIG Westcoast IPA,334354,$15.39,4 pk,,
Slackwater Headwaters,363984,$14.39,4 pk,,
,,,,,
Nonny Beer,,,,,https://nonny.beer
Nonny Pilsner,NON-24P-PIL,53.10/24P,Non-alcoholic ,YES,
Nonny IPA,NON-24P-IPA,53.10/24P,Non-alcoholic ,YES,
Nonny Pale Ale,NON-24P-PAL,53.10/24P,Non-alcoholic ,,
