Name,Number,Price,Store,URL
## Glass of Bubbly? Check out our Bubbles Corner for Sparkling Wines,,,,
,,,,
,,,,
,,,,
Arterra Wines Canada ,,,,https://www.arterracanada.com
Steller's Jay Sparkling Brut,487512,$22.99,,
,,,,
Authentic Wine & Spirits Merchants ,,,,https://www.awsm.ca
Masi Modello Prosecco,161591,$24.99,,
,,,,
Bordertown Estate Winery,,,,https://www.bordertownwinery.com
After 93 Moscato Frizzante,289739,$29.99,,
,,,,
Country Vines Winery,,,,https://countryvines.ca
Back Forty Bubbles 2022 ,246585,$29.90,,
,,,,
Dirty Laundry,,,,https://www.dirtylaundry.ca/
Let's Get Fizzical Rose,,23.99,,
,,,,
Howling Bluff Estate Winery,,,,https://howlingbluff.ca
2023 Perspective Frizzante,351740,,,
,,,,
Over The Fence Winery,,,,https://www.overthefencewinery.ca
The Dreamer Rosé Frizzante,669882,,,
To the Moon 2025 Frizzante ,197412,31.99,,
,,,,
Stoneboat Vineyards,,,,https://www.stoneboatvineyards.com
Piano Reserve Brut,374041,$26.99,,
