Name,Number,Price,Store
,,,
## VIP First Sip Exclusive Tasting ,,,
,,,
## These specialty pours will be available from 6:45pm-7:30pm in addition to everything else.,,,
,,,
Bordertown Estate Winery,,,
Cabernet Franc Reserve 2019,53138,$49.99,
Malbec Reserve 2020,410577,$59.99,
,,,
Castoro de Oro Estate Winery,,,
Crimson Rhapsody 2023 (red blend),659029,$59.99,
,,,
Country Vines Winery,,,
Hoglers Reserve Cabernet 2023,663129,$35.99,
,,,
Don Julio Tequila,,,
Don Julio 1942,291237,$299.99,Yes
,,,
Kalala Organic Estate Winery,,,
Merlot,105999,$38.99,
,,,
Montis Distilling,,,
Whistler Whisky,382981,$90.00,Yes
,,,
Proximo Spirits Canada,,,
Bushmills 21 Year,166892,$264.99,
Jose Cuervo Reserva de la Familia Anejo,756163,$205.99,
,,,
Revelry Import Company,,,
"Hester Creek ""Garland""",145362,$65.00,
Noble Ridge Kings Ransom Meritage,58043,$85.00,
,,,
SJM Agency Ltd,,,
Hugging Tree Blanc de Blancs,366628,$35.00,
,,,
Terralux Estate Winery,,,
Terralux Reserve Cabernet Sauvignon 2019,435027,$58.99,
,,,
Tofino Distillery ,,,
Westcoast Whiskey (First Release),357291,Not Available,
