Name,Number,Price,Store
,,,
## Glass of Bubbly? Check out our Bubbles Corner for Sparkling Wines,,,
,,,
,,,
Arterra Wines Canada,,,
See Ya Later Ranch Pinot Gris,281562,$19.99,
LFNG Stock Vineyards Blind Trust Red,492421,$33.00,
Black Sage Vineyards Cabernet Sauvignon,593095,$32.99,
Culmina Dilemma Chardonnay,126830,$34.99,
,,,
Artwine,,,
Pentâge Blend,375363,$33.20,
Pentâge Rhone White,375389,$26.00,
Pentâge Rosé,773487,$18.10,
Kettle Valley Pinot Gris,620443,$19.00,
Kettle Valley Syrah,391201,$18.00,
Kettle Valley Old Main Red,553123,$30.00,
Emandare ESTATE  Mere Foch,335854,$26.00,
Emandare PS,668965,$24.00,
,,,
Authentic Wine & Spirits,,,
Ned Sauv Blanc,16964,$16.99,
Fantini Chardonnay,618601,$17.49,
Cono Sur Org Rose,248743,$17.99,
Cats in Space Rouge,780593,$17.99,
Pascual Toso Estate Malbec,129163,$12.97,
Masi Costasera Amarone,317057,$69.99,
,,,
Bordertown Estate Winery,,,
Pinot Gris 2025,237269,$21.99,
Rose 2023,421055,$21.99,
Cabernet Franc 2021,237266,$22.99,
Hard Pressed Apple Cider,163381,$4.50,
Hard Pressed Rose Cider,709747,$5.00,
,,,
Burrowing Owl Estate Winery,,,
Burrowing Owl Pinot Gris,,,
Burrowing Owl Cabernet Franc,556621,$41.99,YES
Burrowing Owl Athene,178897,$49.99,
Burrowing Owl Syrah,608828,$41.99,YES
Burrowing Owl Meritage,895755,$59.99,
,,,
Castoro de Oro Estate Winery,,,
Heart of Gold NV (white blend),886945,$25.00,
Pinot Noir 2023,685891,$34.50,
Merlot 2022,604439,$34.50,YES
Cabernet Merlot 2022 (Cab Franc / Merlot),661900,$45.99,YES
,,,
Country Vines Winery,,,
Bacchus ,730270,$24.99,
Contact Pinot Grigio 2024,730281,$23.99,YES
Cabernet Sauvignon ,668593,$24.99,YES
,,,
Dirty Laundry Vineyards,,,
,,,
,,,
,,,
,,,
,,,
Domaine Artema Winery Ltd,,,
Rose Village 2024,672665,$29.90,YES
Chardonnay Village 2024,682248,$34.90,YES
Gamay Cru 2022,329568,$54.90,
Gamay Village 2023,328912,$34.90,
,,,
EMPSON Wine + Spirits,,,
EARTHLING Sauvignon Blanc 2025,444527,$20.99,
Borsao Garnacha 2024,296426,$15.99,
Monte Antico Toscana 2021,587113,$21.99,
Saint Cosme Côtes du Rhône 2024,241224,$35.99,
,,,
Gate 22 Winery ,,,
Ton Of Brix,403546,$29.99,YES
Cabernet Sauvignon,407463,$44.99,YES
Zinfandel,448732,$44.99,
Navigator,682240,$39.99,
,,,
Howling Bluff Estate Winery,,,
,,,
,,,
,,,
,,,
,,,
Hugging Tree Winery,,,
Hugging Tree Merlot,296350,$24.99,YES
Hugging Tree Telltale,767558,$32.99,YES
Hugging Tree Chardonnay,686194,$21.99,
,,,
Kalala Organic Estate Winery,,,
150 Frizzante,125275,$25.99,
Harmony White,877928,$19.99,
Zweigelt,89326,$24.99,
Aspire,548693,$31.99,
,,,
Kismet Estate Winery,,,
2022 Karma,2022-karma,$24.99,YES
2023 Safed,2023-safed,$23.99,YES
2021 Moksha,2021-moksha,$36.99,
2024 Pinot Grigio,2024-pinotgrigio,$25.99,
,,,
Mythology Vineyard,,,
Mythology Aphrodite 2024,307965,$26.00,
Mythology Riesling 2024,663065,$27.00,
Mythology Sauvignon Blanc,269517,$26.00,
Mythology Syrah,307816,$35.00,
Mythology Petit Verdot,269520,$30.00,
Mythology Estate Merlot,336765,$39.00,
,,,
Over the Fence Winery,,,
2025 Hey Neighbour White,368592,$28.99,YES
2025 Rosé,368580,$30.99,
The Dreamer Rosé Frizzante,669882,,
2021 Hey Neighbour Red,368586,$35.99,YES
2021 Syrah,368603,$39.99,
,,,
Poplar Grove,,,
Cascadia Pinot Gris 2024,300365,$21.99,YES
Chardonnay 2022,187548,$29.99,
Merlot 2022,449416,$32.99,
CSM 2022,464186,$29.99,YES
The Legacy 2018,75257,$64.99,
,,,
Revelry Import Company,,,
Hester Creek Chardonnay,304546,$25.00,
Hester Creek Syrah,504399,$30.00,
Hester CreK Cabernet Franc,467332,$30.00,
"Hester Creek ""The Judge""",133124,$50.00,YES
"Noble Ridge ""The One"" Sparkling",74198,$35.00,YES
Noble Ridge Stony Knoll Chardonnay,58019,$26.00,
Noble Ridge Meritage,24607,$28.00,
Noble Ridge Reserve Pinot Noir,58046,$35.00,
,,,
Stoneboat Vineyards,,,
Piano Brut Reserve,374041,$26.99,
Pinot Gris,281780,$24.99,YES
Lake's Edge Red,238777,$34.99,YES
Reserve Pinotage,797183,$42.99,
,,,
Terralux Estate Winery,,,
Terralux Viognier 2020,418231,$21.99,
Terralux Rose 2021,435079,$19.49,
Terralux Meritage 2018,418219,$27.49,
Terralux Meritage 2019,418225,$27.49,
,,,
The Wine Syndicate,,,
Roche 'Artist Series' Pinot Noir,278372,$29.99,YES
Protea Cabernet Sauvignon,545640,$19.49,
Tantalus Pinot Gris,270648,$26.99,YES
protea Rosé,18794,$18.99,
,,,
Vancouvery Vintages Inc.,,,
EFE - Black 3 Distilled,397169,$70.99,
EFE - Fresh Grapes,411286,$57.99,
Suvla Karasakiz Reserve,303862,$65.99,YES
Suvla Sir,561068,$53.99,YES
